pos,team,pld,w,d,l,gf,ga,gd,pts,promotion_qualification_or_relegation,season
1,Bolton Wanderers,46,28,14,4,100,53,47,98,Promotion to the Premier League,1996-1997
2,Barnsley,46,22,14,10,76,55,21,80,Promotion to the Premier League,1996-1997
3,Wolverhampton Wanderers,46,22,10,14,68,51,17,76,Qualification for the First Division play-offs,1996-1997
4,Ipswich Town,46,20,14,12,68,50,18,74,Qualification for the First Division play-offs,1996-1997
5,Sheffield United,46,20,13,13,75,52,23,73,Qualification for the First Division play-offs,1996-1997
6,Crystal Palace,46,19,14,13,78,48,30,71,Qualification for the First Division play-offs,1996-1997
7,Portsmouth,46,20,8,18,59,53,6,68,,1996-1997
8,Port Vale,46,17,16,13,58,55,3,67,,1996-1997
9,Queens Park Rangers,46,18,12,16,64,60,4,66,,1996-1997
10,Birmingham City,46,17,15,14,52,48,4,66,,1996-1997
11,Tranmere Rovers,46,17,14,15,63,56,7,65,,1996-1997
12,Stoke City,46,18,10,18,51,57,-6,64,,1996-1997
13,Norwich City,46,17,12,17,63,68,-5,63,,1996-1997
14,Manchester City,46,17,10,19,59,60,-1,61,,1996-1997
15,Charlton Athletic,46,16,11,19,52,66,-14,59,,1996-1997
16,West Bromwich Albion,46,14,15,17,68,72,-4,57,,1996-1997
17,Oxford United,46,16,9,21,64,68,-4,57,,1996-1997
18,Reading,46,15,12,19,58,67,-9,57,,1996-1997
19,Swindon Town,46,15,9,22,52,71,-19,54,,1996-1997
20,Huddersfield Town,46,13,15,18,48,61,-13,54,,1996-1997
21,Bradford City,46,12,12,22,47,72,-25,48,,1996-1997
22,Grimsby Town,46,11,13,22,59,81,-22,46,Relegation to the Second Division,1996-1997
23,Oldham Athletic,46,10,13,23,51,66,-15,43,Relegation to the Second Division,1996-1997
24,Southend United,46,8,15,23,42,85,-43,39,Relegation to the Second Division,1996-1997
