pos,team,pld,w,d,l,gf,ga,gd,pts,promotion_qualification_or_relegation,season
1,Nottingham Forest,46,28,10,8,82,42,40,94,Promotion to the Premier League,1997-1998
2,Middlesbrough,46,27,10,9,77,41,36,91,Promotion to the Premier League,1997-1998
3,Sunderland,46,26,12,8,86,50,36,90,Qualification for the First Division play-offs,1997-1998
4,Charlton Athletic,46,26,10,10,80,49,31,88,Qualification for the First Division play-offs,1997-1998
5,Ipswich Town,46,23,14,9,77,43,34,83,Qualification for the First Division play-offs,1997-1998
6,Sheffield United,46,19,17,10,69,54,15,74,Qualification for the First Division play-offs,1997-1998
7,Birmingham City,46,19,17,10,60,35,25,74,,1997-1998
8,Stockport County,46,19,8,19,71,69,2,65,,1997-1998
9,Wolverhampton Wanderers,46,18,11,17,57,53,4,65,,1997-1998
10,West Bromwich Albion,46,16,13,17,50,56,-6,61,,1997-1998
11,Crewe Alexandra,46,18,5,23,58,65,-7,59,,1997-1998
12,Oxford United,46,16,10,20,60,64,-4,58,,1997-1998
13,Bradford City,46,14,15,17,46,59,-13,57,,1997-1998
14,Tranmere Rovers,46,14,14,18,54,57,-3,56,,1997-1998
15,Norwich City,46,14,13,19,52,69,-17,55,,1997-1998
16,Huddersfield Town,46,14,11,21,50,72,-22,53,,1997-1998
17,Bury,46,11,19,16,42,58,-16,52,,1997-1998
18,Swindon Town,46,14,10,22,42,73,-31,52,,1997-1998
19,Port Vale,46,13,10,23,56,66,-10,49,,1997-1998
20,Portsmouth,46,13,10,23,51,63,-12,49,,1997-1998
21,Queens Park Rangers,46,10,19,17,51,63,-12,49,,1997-1998
22,Manchester City,46,12,12,22,56,57,-1,48,Relegation to the Second Division,1997-1998
23,Stoke City,46,11,13,22,44,74,-30,46,Relegation to the Second Division,1997-1998
24,Reading,46,11,9,26,39,78,-39,42,Relegation to the Second Division,1997-1998
