pos,team,pld,w,d,l,gf,ga,gd,pts,promotion_qualification_or_relegation,season
1,Middlesbrough,46,23,13,10,67,40,27,82,Promotion to the Premier League,1994-1995
2,Reading,46,23,10,13,58,44,14,79,Qualification for the First Division play-offs,1994-1995
3,Bolton Wanderers,46,21,14,11,67,45,22,77,Qualification for the First Division play-offs,1994-1995
4,Wolverhampton Wanderers,46,21,13,12,77,61,16,76,Qualification for the First Division play-offs,1994-1995
5,Tranmere Rovers,46,22,10,14,67,58,9,76,Qualification for the First Division play-offs,1994-1995
6,Barnsley,46,20,12,14,63,52,11,72,,1994-1995
7,Watford,46,19,13,14,52,46,6,70,,1994-1995
8,Sheffield United,46,17,17,12,74,55,19,68,,1994-1995
9,Derby County,46,18,12,16,66,51,15,66,,1994-1995
10,Grimsby Town,46,17,14,15,62,56,6,65,,1994-1995
11,Stoke City,46,16,15,15,50,53,-3,63,,1994-1995
12,Millwall,46,16,14,16,60,60,0,62,,1994-1995
13,Southend United,46,18,8,20,54,73,-19,62,,1994-1995
14,Oldham Athletic,46,16,13,17,60,60,0,61,,1994-1995
15,Charlton Athletic,46,16,11,19,58,66,-8,59,,1994-1995
16,Luton Town,46,15,13,18,61,64,-3,58,,1994-1995
17,Port Vale,46,15,13,18,58,64,-6,58,,1994-1995
18,Portsmouth,46,15,13,18,53,63,-10,58,,1994-1995
19,West Bromwich Albion,46,16,10,20,51,57,-6,58,,1994-1995
20,Sunderland,46,12,18,16,41,45,-4,54,,1994-1995
21,Swindon Town,46,12,12,22,54,73,-19,48,Relegation to the Second Division,1994-1995
22,Burnley,46,11,13,22,49,74,-25,46,Relegation to the Second Division,1994-1995
23,Bristol City,46,11,12,23,42,63,-21,45,Relegation to the Second Division,1994-1995
24,Notts County,46,9,13,24,45,66,-21,40,Relegation to the Second Division,1994-1995
