pos,team,pld,w,d,l,gf,ga,gd,pts,promotion_qualification_or_relegation,season
20,Hartlepool United,46,12,13,21,47,67,-20,49,,1995-1996
21,Leyton Orient,46,12,11,23,44,63,-19,47,,1995-1996
22,Cardiff City,46,11,12,23,41,64,-23,45,,1995-1996
23,Scarborough,46,8,16,22,39,69,-30,40,,1995-1996
24,Torquay United,46,5,14,27,30,84,-54,29,Reprived from relegation,1995-1996
1,Wigan Athletic,46,26,9,11,84,51,33,87,Promotion to the Second Division,1996-1997
2,Fulham,46,25,12,9,72,38,34,87,Promotion to the Second Division,1996-1997
3,Carlisle United,46,24,12,10,67,44,23,84,Promotion to the Second Division,1996-1997
4,Northampton Town,46,20,12,14,67,44,23,72,Qualification for the Third Division play-offs,1996-1997
5,Swansea City,46,21,8,17,62,58,4,71,Qualification for the Third Division play-offs,1996-1997
6,Chester City,46,18,16,12,55,43,12,70,Qualification for the Third Division play-offs,1996-1997
7,Cardiff City,46,20,9,17,57,55,2,69,Qualification for the Third Division play-offs,1996-1997
8,Colchester United,46,17,17,12,62,51,11,68,,1996-1997
9,Lincoln City,46,18,12,16,70,69,1,66,,1996-1997
10,Cambridge United,46,18,11,17,53,59,-6,65,,1996-1997
11,Mansfield Town,46,16,16,14,47,45,2,64,,1996-1997
12,Scarborough,46,16,15,15,66,69,-3,63,,1996-1997
13,Scunthorpe United,46,18,9,19,59,62,-3,63,,1996-1997
14,Rochdale,46,14,16,16,58,58,0,58,,1996-1997
15,Barnet,46,14,16,16,46,51,-5,58,,1996-1997
16,Leyton Orient,46,15,12,19,50,58,-8,57,,1996-1997
17,Hull City,46,13,18,15,44,50,-6,57,,1996-1997
18,Darlington,46,14,10,22,64,78,-14,52,,1996-1997
19,Doncaster Rovers,46,14,10,22,52,66,-14,52,,1996-1997
20,Hartlepool United,46,14,9,23,53,66,-13,51,,1996-1997
21,Torquay United,46,13,11,22,46,62,-16,50,,1996-1997
22,Exeter City,46,12,12,22,48,73,-25,48,,1996-1997
23,Brighton & Hove Albion,46,13,10,23,53,70,-17,47,,1996-1997
24,Hereford United,46,11,14,21,50,65,-15,47,Relegation to Football Conference,1996-1997
1,Notts County,46,29,12,5,82,43,39,99,Promotion to the Second Division,1997-1998
2,Macclesfield Town,46,23,13,10,63,44,19,82,Promotion to the Second Division,1997-1998
3,Lincoln City,46,20,15,11,60,51,9,75,Promotion to the Second Division,1997-1998
4,Colchester United,46,21,11,14,72,60,12,74,Qualification for the Third Division play-offs,1997-1998
5,Torquay United,46,21,11,14,68,59,9,74,Qualification for the Third Division play-offs,1997-1998
6,Scarborough,46,19,15,12,67,58,9,72,Qualification for the Third Division play-offs,1997-1998
7,Barnet,46,19,13,14,61,51,10,70,Qualification for the Third Division play-offs,1997-1998
8,Scunthorpe United,46,19,12,15,56,52,4,69,,1997-1998
9,Rotherham United,46,16,19,11,67,61,6,67,,1997-1998
10,Peterborough United,46,18,13,15,63,51,12,67,,1997-1998
11,Leyton Orient,46,19,12,15,62,47,15,66,,1997-1998
12,Mansfield Town,46,16,17,13,64,55,9,65,,1997-1998
13,Shrewsbury Town,46,16,13,17,61,62,-1,61,,1997-1998
14,Chester City,46,17,10,19,60,61,-1,61,,1997-1998
15,Exeter City,46,15,15,16,68,63,5,60,,1997-1998
16,Cambridge United,46,14,18,14,63,57,6,60,,1997-1998
17,Hartlepool United,46,12,23,11,61,53,8,59,,1997-1998
18,Rochdale,46,17,7,22,56,55,1,58,,1997-1998
19,Darlington,46,14,12,20,56,72,-16,54,,1997-1998
20,Swansea City,46,13,11,22,49,62,-13,50,,1997-1998
21,Cardiff City,46,9,23,14,48,52,-4,50,,1997-1998
22,Hull City,46,11,8,27,56,83,-27,41,,1997-1998
23,Brighton & Hove Albion,46,6,17,23,38,66,-28,35,,1997-1998
24,Doncaster Rovers,46,4,8,34,30,113,-83,20,Relegation to Football Conference,1997-1998
1,Brentford,46,26,7,13,79,56,23,85,Promotion to the Second Division,1998-1999
2,Cambridge United,46,23,12,11,78,48,30,81,Promotion to the Second Division,1998-1999
3,Cardiff City,46,22,14,10,60,39,21,80,Promotion to the Second Division,1998-1999
4,Scunthorpe United,46,22,8,16,69,58,11,74,Qualification for the Third Division play-offs,1998-1999
5,Rotherham United,46,20,13,13,79,61,18,73,Qualification for the Third Division play-offs,1998-1999
6,Leyton Orient,46,19,15,12,68,59,9,72,Qualification for the Third Division play-offs,1998-1999
7,Swansea City,46,19,14,13,56,48,8,71,Qualification for the Third Division play-offs,1998-1999
8,Mansfield Town,46,19,10,17,60,58,2,67,,1998-1999
9,Peterborough United,46,18,12,16,72,56,16,66,,1998-1999
10,Halifax Town,46,17,15,14,58,56,2,66,,1998-1999
11,Darlington,46,18,11,17,69,58,11,65,,1998-1999
12,Exeter City,46,17,12,17,47,50,-3,63,,1998-1999
13,Plymouth Argyle,46,17,10,19,58,54,4,61,,1998-1999
14,Chester City,46,13,18,15,57,66,-9,57,,1998-1999
15,Shrewsbury Town,46,14,14,18,52,63,-11,56,,1998-1999
16,Barnet,46,14,13,19,54,71,-17,55,,1998-1999
17,Brighton & Hove Albion,46,16,7,23,49,66,-17,55,,1998-1999
18,Southend United,46,14,12,20,52,58,-6,54,,1998-1999
19,Rochdale,46,13,15,18,42,55,-13,54,,1998-1999
20,Torquay United,46,12,17,17,47,58,-11,53,,1998-1999
21,Hull City,46,14,11,21,44,62,-18,53,,1998-1999
22,Hartlepool United,46,13,12,21,52,65,-13,51,,1998-1999
23,Carlisle United,46,11,16,19,43,53,-10,49,,1998-1999
24,Scarborough,46,14,6,26,50,77,-27,48,Relegation to Football Conference,1998-1999
1,Swansea City,46,24,13,9,51,30,21,85,Promotion to the Second Division,1999-2000
2,Rotherham United,46,24,12,10,72,36,36,84,Promotion to the Second Division,1999-2000
3,Northampton Town,46,25,7,14,63,45,18,82,Promotion to the Second Division,1999-2000
4,Darlington,46,21,16,9,66,36,30,79,Qualification for the Third Division play-offs,1999-2000
5,Peterborough United,46,22,12,12,63,54,9,78,Qualification for the Third Division play-offs,1999-2000
6,Barnet,46,21,12,13,59,53,6,75,Qualification for the Third Division play-offs,1999-2000
7,Hartlepool United,46,21,9,16,60,49,11,72,Qualification for the Third Division play-offs,1999-2000
8,Cheltenham Town,46,20,10,16,50,42,8,70,,1999-2000
9,Torquay United,46,19,12,15,62,52,10,69,,1999-2000
10,Rochdale,46,18,14,14,57,54,3,68,,1999-2000
11,Brighton & Hove Albion,46,17,16,13,64,46,18,67,,1999-2000
12,Plymouth Argyle,46,16,18,12,55,51,4,66,,1999-2000
13,Macclesfield Town,46,18,11,17,66,61,5,65,,1999-2000
14,Hull City,46,15,14,17,43,43,0,59,,1999-2000
15,Lincoln City,46,15,14,17,67,69,-2,59,,1999-2000
16,Southend United,46,15,11,20,53,61,-8,56,,1999-2000
17,Mansfield Town,46,16,8,22,50,65,-15,56,,1999-2000
18,Halifax Town,46,15,9,22,44,58,-14,54,,1999-2000
19,Leyton Orient,46,13,13,20,47,52,-5,52,,1999-2000
20,York City,46,12,16,18,39,53,-14,52,,1999-2000
21,Exeter City,46,11,11,24,46,72,-26,44,,1999-2000
22,Shrewsbury Town,46,9,13,24,40,67,-27,40,,1999-2000
23,Carlisle United,46,9,12,25,42,75,-33,39,,1999-2000
24,Chester City,46,10,9,27,44,79,-35,39,Relegation to Football Conference,1999-2000
1,Brighton & Hove Albion,46,28,8,10,73,35,38,92,Promotion to Football League Second Division,2000-2001
2,Cardiff City,46,23,13,10,95,58,37,82,Promotion to Football League Second Division,2000-2001
3,Chesterfield,46,25,14,7,79,42,37,80,Promotion to Football League Second Division,2000-2001
4,Hartlepool United,46,21,14,11,71,54,17,77,Qualification for the Third Division play-offs,2000-2001
